1,23,5211,871,1223,11,5,355,9999,1,28032,33057,1259,5575,4,1,9604,23790,83,136,18,4695,3,121,1,151,521,2,130,24677,4,1,612,947,612,1645,4534,59,29008,1,21679,1,416,3474,3,4189,1,142,5,11323,3
1,138,10992,4,1631,2862,1,258,1360,19505,61,443,68,124,3939,17776,3,23,110,1932,2,794,3503,1,146,466,29,2,3661,75,14232,77,5,124,152,10362,8353,2,3,392,146,101,30,1,29,2,3223,5,29995,2,3
1,906,182,13,1024,1115,51,1496,2729,2,2419,54,282,10503,2,15037,13212,6518,4,1024,1201,2,1307,1,159,12399,2,15037,31372,182,6518,4,31156,2,24339,54,123,123,6,18,1046,1,52,14,1205,2806,256,16206,601,2910,3
1,1307,29,11,33,906,29,1067,4,8361,309,50,237,76,990,11,1472,4,7580,2,463,309,2405,9399,4,1648,13653,32180,1648,76,89,10726,2,62,309,46,29,8241,309,1107,9,256,3560,50,906,2,333,481,2782,4,309
1,836,1,46,29,48,3,214,57,2,537,1,8365,267,35,4569,23,60,26089,1,2025,22844,1277,2,1801,2,2343,3,57,2,537,2730,241,70,2,547,560,3,32171,12483,862,741,1,158,5737,2137,136,69,12,537,3
1,216,22425,43,1025,3,22,208,4265,1695,1029,1,1864,32,1682,335,601,1,6775,692,136,166,2,416,741,1,32260,439,18117,13,6756,1,18117,13,6756,439,17557,13,1135,1,34,18,944,30180,1,87,29883,3,321,23420,3
1,1208,1,146,50,171,768,78,284,18,550,2321,2,1275,1,50,171,577,78,483,1550,130,550,2,861,3943,9,306,5,43,5320,2,9,340,404,147,30323,3864,2,129,4463,4417,127,460,45,9387,22575,1,27601,6838,9
1,2,794,7053,4,28104,2340,2,206,595,1,579,1682,110,906,2,607,2601,23,14528,1,736,4,355,25461,2,206,3980,1,271,341,794,766,11,2368,515,110,726,6567,906,17615,2,256,29,1,59,915,83,59,680,3
1,930,307,2681,17623,3540,8170,2,85,83,59,8073,529,1277,2,2122,535,1,1124,8256,1,452,13,2238,1,38,2,16062,13,1080,15380,297,969,12201,29364,2,1136,17800,19465,56,3,541,7722,1,847,4,4178,10501,7291,2,29812
1,0,0,0,0,0,0,146,2269,4035,1,7369,3,21,799,2391,1,5711,1,25849,1,30409,3,46,5852,144,140,6762,25325,17,3616,2,8,381,5658,31897,1,28009,7025,3,16444,11085,1,31862,2,5507,644,1,162,549,9
